2023-03-13 03:13:50,683 - application.py | homepage | lineno-18 - INFO - web app start###############################################
2023-03-13 03:13:50,694 - application.py | homepage | lineno-19 - INFO - home_page hit by machine:127.0.0.1
2023-03-13 03:13:59,253 - scrappermaster.py | appstart | lineno-88 - INFO - Application start##############################################
2023-03-13 03:14:02,703 - scrappermaster.py | appstart | lineno-100 - ERROR - primary collection less than 5
2023-03-13 03:14:04,124 - scrappermaster.py | mongo_connection_check | lineno-70 - INFO - collection created in mongo db
2023-03-13 03:16:15,676 - scrappermaster.py | autoscrapping | lineno-124 - INFO - cournt from user 4 and total links 448
2023-03-13 03:16:15,683 - scrappermaster.py | autoscrapping | lineno-126 - INFO -  course link -----------------------> https://ineuron.ai/course/Blockchain-Foundations
2023-03-13 03:16:26,404 - scrappermaster.py | autoscrapping | lineno-126 - INFO - project not present in https://ineuron.ai/course/Blockchain-Foundations
2023-03-13 03:16:27,187 - scrappermaster.py | autoscrapping | lineno-126 - INFO -  course link -----------------------> https://ineuron.ai/course/Advanced-Python
2023-03-13 03:16:36,200 - scrappermaster.py | autoscrapping | lineno-126 - INFO - project not present in https://ineuron.ai/course/Advanced-Python
2023-03-13 03:16:37,048 - scrappermaster.py | autoscrapping | lineno-126 - INFO -  course link -----------------------> https://ineuron.ai/course/Azure-Databricks
2023-03-13 03:16:45,664 - scrappermaster.py | autoscrapping | lineno-126 - INFO - project not present in https://ineuron.ai/course/Azure-Databricks
2023-03-13 03:16:46,287 - scrappermaster.py | autoscrapping | lineno-126 - INFO -  course link -----------------------> https://ineuron.ai/course/Apache-Atlas
2023-03-13 03:16:55,885 - scrappermaster.py | autoscrapping | lineno-126 - INFO - project not present in https://ineuron.ai/course/Apache-Atlas
